Strain,Rec,date,transfer,plateID,wellID,wellCol,wellRow,Treatment,Replicate,Environment,OD
AB3,Rec+,290720,T01,NOD SHIFT 1,A1,1,A,No drug,1,X,1.105
AB3,Rec+,290720,T01,NOD SHIFT 1,A2,2,A,No drug,1,X,1.069
AB3,Rec+,290720,T01,NOD SHIFT 1,A3,3,A,No drug,1,X,0.946
AB3,Rec+,290720,T01,NOD SHIFT 1,A4,4,A,No drug,1,X,0.869
AB3,Rec+,290720,T01,NOD SHIFT 1,A5,5,A,No drug,1,X,0.863
AB3,Rec+,290720,T01,NOD SHIFT 1,A6,6,A,No drug,1,X,1.022
AB3,Rec+,290720,T01,NOD SHIFT 1,B1,1,B,No drug,2,X,1.124
AB3,Rec+,290720,T01,NOD SHIFT 1,B2,2,B,No drug,2,X,0.919
AB3,Rec+,290720,T01,NOD SHIFT 1,B3,3,B,No drug,2,X,0.856
AB3,Rec+,290720,T01,NOD SHIFT 1,B4,4,B,No drug,2,X,0.835
AB3,Rec+,290720,T01,NOD SHIFT 1,B5,5,B,No drug,2,X,0.855
AB3,Rec+,290720,T01,NOD SHIFT 1,B6,6,B,No drug,2,X,0.998
AB3,Rec+,290720,T01,NOD SHIFT 1,C1,1,C,No drug,3,X,0.894
AB3,Rec+,290720,T01,NOD SHIFT 1,C2,2,C,No drug,3,X,0.896
AB3,Rec+,290720,T01,NOD SHIFT 1,C3,3,C,No drug,3,X,0.89
AB3,Rec+,290720,T01,NOD SHIFT 1,C4,4,C,No drug,3,X,0.962
AB3,Rec+,290720,T01,NOD SHIFT 1,C5,5,C,No drug,3,X,1.058
AB3,Rec+,290720,T01,NOD SHIFT 1,C6,6,C,No drug,3,X,1.108
AB3,Rec+,290720,T01,NOD SHIFT 1,D1,1,D,No drug,4,X,0.93
AB3,Rec+,290720,T01,NOD SHIFT 1,D2,2,D,No drug,4,X,0.943
AB3,Rec+,290720,T01,NOD SHIFT 1,D3,3,D,No drug,4,X,0.959
AB3,Rec+,290720,T01,NOD SHIFT 1,D4,4,D,No drug,4,X,0.97
AB3,Rec+,290720,T01,NOD SHIFT 1,D5,5,D,No drug,4,X,1.042
AB3,Rec+,290720,T01,NOD SHIFT 1,D6,6,D,No drug,4,X,1.119
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,A1,1,A,STP only,5,X,0.933
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,A2,2,A,STP only,5,X,1.065
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,A3,3,A,STP only,5,X,1.023
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,A4,4,A,STP only,5,S,0.922
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,A5,5,A,STP only,5,S,0.902
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,A6,6,A,STP only,5,S,0.938
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,B1,1,B,STP only,6,X,1.086
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,B2,2,B,STP only,6,X,1.148
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,B3,3,B,STP only,6,X,1.086
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,B4,4,B,STP only,6,S,0.954
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,B5,5,B,STP only,6,S,0.941
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,B6,6,B,STP only,6,S,0.944
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,C1,1,C,STP only,7,X,1.244
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,C2,2,C,STP only,7,X,1.139
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,C3,3,C,STP only,7,X,1.127
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,C4,4,C,STP only,7,S,0.966
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,C5,5,C,STP only,7,S,0.944
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,C6,6,C,STP only,7,S,0.937
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,D1,1,D,STP only,8,X,1.183
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,D2,2,D,STP only,8,X,1.168
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,D3,3,D,STP only,8,X,1.151
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,D4,4,D,STP only,8,S,0.909
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,D5,5,D,STP only,8,S,0.939
AB3,Rec+,290720,T01,STR AB3 SHIFT 2,D6,6,D,STP only,8,S,0.927
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,A1,1,A,RIF only,5,X,0.894
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,A2,2,A,RIF only,5,X,0.89
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,A3,3,A,RIF only,5,X,0.929
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,A4,4,A,RIF only,5,R,0.908
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,A5,5,A,RIF only,5,R,0.942
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,A6,6,A,RIF only,5,R,1.012
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,B1,1,B,RIF only,6,X,0.994
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,B2,2,B,RIF only,6,X,1.023
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,B3,3,B,RIF only,6,X,1.004
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,B4,4,B,RIF only,6,R,0.983
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,B5,5,B,RIF only,6,R,1.004
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,B6,6,B,RIF only,6,R,0.98
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,C1,1,C,RIF only,7,X,1.055
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,C2,2,C,RIF only,7,X,1.065
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,C3,3,C,RIF only,7,X,1.06
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,C4,4,C,RIF only,7,R,0.991
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,C5,5,C,RIF only,7,R,0.982
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,C6,6,C,RIF only,7,R,0.978
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,D1,1,D,RIF only,8,X,1.149
